うたがう,疑う
うたたね,転寝
うちあける,打ち明ける
うちあわせ,打ち合わせ
うちあわせる,打ち合わせる
うちきる,打ち切る
うちけし,打ち消し
うちけす,打ち消す
うちこむ,打ち込む
うちゅう,宇宙
うちわ,団扇
うちわけ,内訳
うつ,打つ,討つ,撃つ
うつくしい,美しい
うつし,写し
うつす,写す,映す
うつす,移す
うったえ,訴え
うったえる,訴える
うつる,写る,映る
うつる,移る
うつろ,空ろ
うでまえ,腕前
うてん,雨天
うながす,促す
うばう,奪う
うまれ,生まれ
うまれつき,生まれつき
うまれる,生まれる
うまる,埋まる
うむ,産む
うむ,有無
うめこむ,埋め込む
うめぼし,梅干
うめる,埋める
うやまう,敬う
うらがえし,裏返し
うらがえす,裏返す
うらぎる,裏切る
うらぐち,裏口
うらなう,占う
うらみ,恨み
うらむ,恨む
うらやましい,羨ましい
うらやむ,羨む
うりあげ,売上
うりきれ,売り切れ
うりきれる,売り切れる
うりだし,売り出し
うりだす,売り出す
うりば,売り場
うる,売る
うるおう,潤う
うるさい
うれしい,嬉しい
うれゆき,売れ行き
うれる,売れる
うろうろ
うわき,浮気
うわぎ,上着
うわさ,噂
うわまわる,上回る
うわる,植わる
うん,運
うんえい,運営
うんが,運河
うんざり
うんそう,運送
うんちん,運賃
うんてん,運転
うんと
うんどう,運動
うんぬん,云々
うんぱん,運搬
うんめい,運命
うんゆ,運輸
うんよう,運用
えいえん,永遠
えいが,映画
えいきゅう,永久
えいきょう,影響
えいぎょう,営業
えいご,英語
えいじ,英字
えいしゃ,映写
えいせい,衛生
えいせい,衛星
えいぞう,映像
えいぶん,英文
えいゆう,英雄
えいよう,栄養
えいわ,英和
ええ
ええと
えがお,笑顔
えがく,描く
えき,駅
えきたい,液体
えさ,餌
エスカレーター
えだ,枝
エチケット
えつらん,閲覧
エネルギー
えのぐ,絵の具
エプロン
えもの,獲物
えらい,偉い
えらぶ,選ぶ
えり,襟
える,うる,得る
エレガント
エレベーター
えんかい,宴会
えんかつ,円滑
えんがわ,縁側
えんがん,沿岸
えんき,延期
えんぎ,演技
えんきょく,婉曲
えんげい,園芸
えんげき,演劇
えんしゅう,円周
えんしゅう,演習
えんしゅつ,演出
えんじょ,援助
えんじる,えんずる,演じる,演ずる
えんぜつ,演説
えんせん,沿線
えんそう,演奏
えんそく,遠足
えんだん,縁談
えんちょう,延長
えんとつ,煙突
えんぽう,遠方
えんまん,円満
えんりょ,遠慮
おい,甥
おいかける,追い掛ける
おいこす,追い越す
おいこむ,追い込む
おいしい
おいだす,追い出す
おいつく,追い付く
おいて,於いて
おいでになる
おいる,老いる
おう,追う
おう,負う
おうえん,応援
おうきゅう,応急
おうごん,黄金
おうさま,王様
おうじ,王子
おうじょ,王女
おうじる,おうずる,応じる,応ずる
おうしん,往診
おうせつ,応接
おうたい,応対
おうだん,横断
おうふく,往復
おうべい,欧米
おうぼ,応募
おうよう,応用
おえる,終える
おおい,多い
おおいに,大いに
おおう,覆う
おおかた,大方
おおがら,大柄
おおきい,おおきな,大きい,大きな
オーケー
オーケストラ
おおげさ,大げさ
おおざっぱ
おおすじ,大筋
おおどおり,大通り
おおぞら,大空
おおはば,大幅
おおまかな
おおみず,大水
おおや,大家
おおやけ,公
おおよそ
おか,丘
おかあさん,おかあさま,お母さん,お母様
あかえり
おかげ
おかけください
おかげさまで
おかしい
おかす,犯す
おかす,侵す
おかず
おかまいなく,お構いなく
おがむ,拝む
おかわり,お代わり
おぎなう,補う
おきる,起きる
おきのどくに,お気の毒に
おく,置く
おくがい,屋外
おくさん,おくさま,奥さん,奥様
おくじょう,屋上
おくびょう,臆病
おくらす,遅らす
おくりがな,送り仮名
おくりもの,贈り物
おくる,送る
おくる,贈る
おくれ,遅れ
おくれる,遅れる
おげんきで,お元気で
おげんきですか,お元気ですか
おこさん,お子さん
おこす,起こす
おごそか,厳か
おこたる,怠る
おこない,行い
おこなう,行う
おこる,起こる
おこる,怒る
おさえる,押さえる
おさきに,お先に
おさない,幼い
おさまる,収まる,納まる,治まる
おさめる,収める,納める,治める
おさん,お産
